開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
2942,CSUE110,資工系（學）,,,,,,,資訊科技概論教學實習（教）,Information Technology Teaching Practicum,2.0,選,半,紀博文,五 6-9 公館 理圖802,20,1,◎課程開放上修,請務必依【教育專門課程對應科目】修習課程，避免造成學分無法認定之情形發生。
2943,CSUE310,資工系（學）,,,,,,,資訊科技教學實習（教）,Teaching Practicum: Computer Science and Information Technology,2.0,選,半,紀博文,五 6-9 公館 理圖802,20,11,◎課程開放上修,請務必依【教育專門課程對應科目】修習課程，避免造成學分無法認定之情形發生。
2944,CSC0004,資工系（學）,,,大碩,,,,編譯系統設計,Compiler Design,3.0,選,半,黃冠寰,一 7-9 公館 Ｓ302,50,24,◎課程開放上修,
2945,CSC0005,資工系（學）,,,大碩,,,,物件導向分析與設計,Object-Oriented Analysis and Design,3.0,選,半,林均翰,五 2-4 公館 Ｂ101,50,36,◎課程開放上修,
2946,CSC0010,資工系（學）,,,大碩,是,,,無線通訊,Wireless Communications,3.0,選,半,賀耀華,二 7-9 公館 Ｂ101,50,32,◎課程開放上修,
2947,CSC0072,資工系（學）,,,大碩,,,,資訊安全,Information Security,3.0,選,半,紀博文,一 2-4 公館 Ｂ103,50,75,◎課程開放上修,
2948,CSC9005,資工系（學）,,,大碩,是,,,資料視覺化,Data Visualization,3.0,選,半,王科植,四 7-9 公館 Ｂ103,50,50,◎課程開放上修,
2949,CSU0002,資工系（學）,A,1,,,,,程式設計（二）,Computer Programming (II),3.0,必,半,紀博文,"一 7 公館 理圖807, 三 8-9 公館 理圖807",60,69,◎必須先修過【CSU0001  程式設計（一）】 ◎課程開放上修,預計以授權碼加開名額，請同學開學時檢附程式設計(一)修課成績單向老師洽詢授權碼。
2950,CSU0002,資工系（學）,B,1,,,,,程式設計（二）,Computer Programming (II),3.0,必,半,王弘倫,二 2-4 公館 理圖807,50,47,◎必須先修過【CSU0001  程式設計（一）】 ◎課程開放上修,
4640,CSU0002,資工系（學）,C,1,,,,,程式設計（二）,Computer Programming (II),3.0,必,半,紀博文,"一 7 公館 Ｓ603, 三 8-9 公館 Ｓ603",0,24,◎必須先修過【CSU0001  程式設計（一）】 ◎課程開放上修,1.本班為視訊上課，需自備筆電。 2.第一週請至理圖807向老師索取授權碼。
2951,CSU0009,資工系（學）,,1,,,,,數位邏輯,Digital Logic,3.0,選,半,吳榮根,二 7-9 公館 Ｅ102,100,75,◎課程開放上修,
2952,CSU0011,資工系（學）,,1,,,,,離散數學,Discrete Mathematics,3.0,選,半,王弘倫,"一 8 公館 Ｅ102, 五 3-4 公館 Ｅ102",100,121,◎課程開放上修,
2953,CSU0012,資工系（學）,,1,,,,,邏輯概論,Introduction to Logic,3.0,選,半,侯文娟,四 2-4 公館 Ｂ101,70,77,◎課程開放上修,
2954,CSU0018,資工系（學）,,2,,,,,演算法,Computer Algorithms,3.0,必,半,葉梅珍,"二 3-4 公館 Ｂ102, 四 2 公館 Ｂ102",65,101,◎必須先修過【CSU0001  程式設計（一）】 ◎課程開放上修,
2955,CSU0019,資工系（學）,,2,,,,,計算機網路,Computer Networks,3.0,選,半,蔡榮宗,"二 8-9 公館 Ｂ102, 四 7 公館 Ｂ102",70,86,◎課程開放上修,
2956,CSU0020,資工系（學）,,2,,,,,程式語言結構,Programming Language Constructs,3.0,選,半,黃冠寰,"二 7 公館 Ｂ102, 四 8-9 公館 理圖001",50,54,◎課程開放上修,
2957,CSU0029,資工系（學）,,2,,,,,計算機結構,Computer Architectures,3.0,必,半,林均翰,"二 2 公館 Ｂ102, 四 3-4 公館 Ｂ102",50,97,◎課程開放上修,
2958,CSU0030,資工系（學）,,3,,,,,進階程式設計,The Practice of Programming,3.0,選,半,蔣宗哲,五 7-9 公館 理圖807,50,53,◎課程開放上修,
2959,CSU0032,資工系（學）,,3,,是,,,工程數學,Engineering Mathematics,3.0,選,半,王超,二 2-4 公館 Ｂ101,50,35,◎課程開放上修,
2960,CSU0033,資工系（學）,,3,,是,,,作業系統,Operating Systems,3.0,選,半,賀耀華,"一 8-9 公館 Ｂ102, 五 3 公館 Ｂ102",50,54,◎課程開放上修,
2961,CSU0034,資工系（學）,,3,,,,,資料庫理論,Database Theories,3.0,選,半,柯佳伶,"一 3-4 公館 Ｂ101, 五 2 公館 理圖807",50,59,◎課程開放上修,
2962,CSU0039,資工系（學）,,3,,,,,資訊專題研究（二）：資訊理論,Special Topics on Computer Science (II) : Information Theories,3.0,選,半,黃冠寰 蔡榮宗 蔣宗哲,五 10-B 公館 教室自排,50,28,◎課程開放上修,
2963,CSU0040,資工系（學）,,3,,,,,資訊專題研究（二）：資訊系統,Special Topics on Computer Science (II) : Information Systems,3.0,選,半,黃冠寰 蔡榮宗 方瓊瑤,四 10-B 公館 教室自排,50,29,◎課程開放上修,
2964,CSU0041,資工系（學）,,3,,,,,影像處理,Image Processing,3.0,選,半,陳世旺,四 2-4 公館 理圖003,50,57,◎課程開放上修,
2965,CSU0042,資工系（學）,,3,,,,,人工智慧,Artificial Intelligence,3.0,選,半,林順喜,"一 7 公館 Ｂ102, 四 8-9 公館 Ｂ102",55,71,◎課程開放上修,
